Text	Time	Relative Event	Panel	Heading 1	Heading 2	LF	Info	Item	Position	Automatic	Call Group	Fail Group	Remarks
Perform GDC Alignment to IMU									-1	1	GDC Alignment to IMU		
Perform P40 SPS Thrusting	433680	MISSION_TIME							-1	1	P40 SPS Thrusting		
Copy Landmark Tracking PAD	435960	MISSION_TIME							-1	1			
Perform P52 IMU Realign (Nominal) GET Align: 122:02:00	437400	MISSION_TIME							-1	1	P52 IMU Realign (Nominal)		
Adjust ORDEAL									-1	1	ORDEAL Initialization		
Copy P27 Update	437760	MISSION_TIME							-1	1			
"Maneuver to ORDEAL R-000 deg, P-350 deg, Y-000 deg"	439200	MISSION_TIME							-1	0			
P22 Orbital Navigation									-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
State Vector Update	445200	MISSION_TIME							-1	1	P27 Auto Update		
P23 Star/Horizon Sighting	445320	MISSION_TIME							-1	1	P23 Cislunar Navigation		
P23 Star/Horizon Sighting	446040	MISSION_TIME							-1	1	P23 Cislunar Navigation		
G&N Power Down	447600	MISSION_TIME							-1	1	G&N Power Down		
Copy Block Data 14	450720	MISSION_TIME							-1	1			
Waste Water Dump	459600	MISSION_TIME							-1	1	Waste Water Dump		
ECS Redundant Component Check	460800	MISSION_TIME							-1	1	ECS Redundant Component Check		
Fuel Cell O2 Purge	468000	MISSION_TIME							-1	1	Fuel Cell O2 Purging		
O2 Stratification Test	471600	MISSION_TIME							-1	1	O2 Stratification Test		
Copy Block Data 15	485280	MISSION_TIME							-1	1			
Record Systems Data (Column 7)	496800	MISSION_TIME							-1	0			
G&N Power Up	500400	MISSION_TIME		Eight Period of Activities					-1	1	G&N Power Up		
Perform P51 IMU Orientation									-1	1	P51 IMU Orientation		
Perform P52 IMU Realign (Nominal) GET Align: 141:14:00	502200	MISSION_TIME							-1	1	P52 IMU Realign (Nominal)		
Copy Landmark Tracking PAD	502800	MISSION_TIME							-1	1			
Copy P27 PAD	503100	MISSION_TIME							-1	1			
Manual State Vector Update									-1	1	P27 Voice Update		
Perform P52 IMU Realign (Nominal) GET Align: 141:14:00	507600	MISSION_TIME							-1	1	P52 IMU Realign (Nominal)		
Adjust ORDEAL									-1	1	ORDEAL Initialization		
P22 Orbital Navigation	513000	MISSION_TIME							-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
P22 Orbital Navigation									-1	1	P22 Auto optics		
Copy Landmark Tracking PAD									-1	1			
